"","ID","B05001_001E","B05001_002E","B05001_003E","B05001_004E","B05001_005E","noncit","GEO_ID","NAME"
"31","25025010405",6214,4681,116,102,399,916,"1400000US25025010405","Census Tract 104.05, Suffolk County, Massachusetts"
"32","25025010408",1403,975,12,30,72,314,"1400000US25025010408","Census Tract 104.08, Suffolk County, Massachusetts"
"33","25025010500",3456,1966,38,64,307,1081,"1400000US25025010500","Census Tract 105, Suffolk County, Massachusetts"
"34","25025010600",3406,2348,29,68,295,666,"1400000US25025010600","Census Tract 106, Suffolk County, Massachusetts"
"35","25025010701",2242,1851,25,51,101,214,"1400000US25025010701","Census Tract 107.01, Suffolk County, Massachusetts"
"36","25025010702",2623,2188,29,46,115,245,"1400000US25025010702","Census Tract 107.02, Suffolk County, Massachusetts"
"37","25025010801",2957,2417,0,25,273,242,"1400000US25025010801","Census Tract 108.01, Suffolk County, Massachusetts"
"38","25025010802",3429,2581,24,79,236,509,"1400000US25025010802","Census Tract 108.02, Suffolk County, Massachusetts"
"39","25025020101",4688,3705,110,78,518,277,"1400000US25025020101","Census Tract 201.01, Suffolk County, Massachusetts"
"40","25025020200",3402,2735,75,67,169,356,"1400000US25025020200","Census Tract 202, Suffolk County, Massachusetts"
"41","25025020301",2342,1378,0,36,238,690,"1400000US25025020301","Census Tract 203.01, Suffolk County, Massachusetts"
"42","25025020302",955,800,0,0,36,119,"1400000US25025020302","Census Tract 203.02, Suffolk County, Massachusetts"
"43","25025020304",1096,768,56,0,71,201,"1400000US25025020304","Census Tract 203.04, Suffolk County, Massachusetts"
"44","25025020305",3472,2749,61,24,318,320,"1400000US25025020305","Census Tract 203.05, Suffolk County, Massachusetts"
"45","25025030100",2241,1913,11,0,104,213,"1400000US25025030100","Census Tract 301, Suffolk County, Massachusetts"
"46","25025030200",1706,1419,15,65,104,103,"1400000US25025030200","Census Tract 302, Suffolk County, Massachusetts"
"47","25025030301",1640,1258,0,17,293,72,"1400000US25025030301","Census Tract 303.01, Suffolk County, Massachusetts"
"48","25025030302",2529,1833,6,33,281,376,"1400000US25025030302","Census Tract 303.02, Suffolk County, Massachusetts"
"49","25025030400",3992,3702,0,60,106,124,"1400000US25025030400","Census Tract 304, Suffolk County, Massachusetts"
"50","25025030500",2432,1920,0,75,230,207,"1400000US25025030500","Census Tract 305, Suffolk County, Massachusetts"
"51","25025040100",2496,2132,0,18,140,206,"1400000US25025040100","Census Tract 401, Suffolk County, Massachusetts"
"52","25025040200",1931,1379,68,13,318,153,"1400000US25025040200","Census Tract 402, Suffolk County, Massachusetts"
"53","25025040300",4755,4152,0,83,264,256,"1400000US25025040300","Census Tract 403, Suffolk County, Massachusetts"
"54","25025040401",3216,2758,52,0,112,294,"1400000US25025040401","Census Tract 404.01, Suffolk County, Massachusetts"
"55","25025040600",3556,3178,25,129,133,91,"1400000US25025040600","Census Tract 406, Suffolk County, Massachusetts"
"56","25025040801",4550,3181,281,47,612,429,"1400000US25025040801","Census Tract 408.01, Suffolk County, Massachusetts"
"57","25025050101",5539,2807,231,5,600,1896,"1400000US25025050101","Census Tract 501.01, Suffolk County, Massachusetts"
"58","25025050200",5626,2657,98,46,745,2080,"1400000US25025050200","Census Tract 502, Suffolk County, Massachusetts"
"59","25025050300",3216,1629,136,10,741,700,"1400000US25025050300","Census Tract 503, Suffolk County, Massachusetts"
"60","25025050400",2392,1365,14,13,216,784,"1400000US25025050400","Census Tract 504, Suffolk County, Massachusetts"
"61","25025050500",2394,1259,67,6,394,668,"1400000US25025050500","Census Tract 505, Suffolk County, Massachusetts"
"62","25025050600",2592,1129,0,17,214,1232,"1400000US25025050600","Census Tract 506, Suffolk County, Massachusetts"
"63","25025050700",5603,1843,34,17,438,3271,"1400000US25025050700","Census Tract 507, Suffolk County, Massachusetts"
"64","25025050901",4753,2307,24,49,435,1938,"1400000US25025050901","Census Tract 509.01, Suffolk County, Massachusetts"
"65","25025051000",4923,2873,9,88,656,1297,"1400000US25025051000","Census Tract 510, Suffolk County, Massachusetts"
"66","25025051101",7585,4393,107,113,1120,1852,"1400000US25025051101","Census Tract 511.01, Suffolk County, Massachusetts"
"67","25025051200",3176,2125,0,68,565,418,"1400000US25025051200","Census Tract 512, Suffolk County, Massachusetts"
"68","25025060101",3536,3377,0,7,74,78,"1400000US25025060101","Census Tract 601.01, Suffolk County, Massachusetts"
"69","25025060200",2107,2073,0,5,14,15,"1400000US25025060200","Census Tract 602, Suffolk County, Massachusetts"
"70","25025060301",4029,3666,0,200,96,67,"1400000US25025060301","Census Tract 603.01, Suffolk County, Massachusetts"
"71","25025060400",5349,5233,0,37,40,39,"1400000US25025060400","Census Tract 604, Suffolk County, Massachusetts"
"72","25025060501",4335,3915,0,0,332,88,"1400000US25025060501","Census Tract 605.01, Suffolk County, Massachusetts"
"73","25025060601",1831,1669,0,22,72,68,"1400000US25025060601","Census Tract 606.01, Suffolk County, Massachusetts"
"74","25025060602",314,265,0,0,10,39,"1400000US25025060602","Census Tract 606.02, Suffolk County, Massachusetts"
"75","25025060603",1021,889,0,54,15,63,"1400000US25025060603","Census Tract 606.03, Suffolk County, Massachusetts"
"76","25025060604",1608,1186,22,0,253,147,"1400000US25025060604","Census Tract 606.04, Suffolk County, Massachusetts"
"77","25025060700",2454,1191,82,22,668,491,"1400000US25025060700","Census Tract 607, Suffolk County, Massachusetts"
"78","25025060800",4076,3464,0,19,529,64,"1400000US25025060800","Census Tract 608, Suffolk County, Massachusetts"
