GEOID,NAME,variable,estimate,moe,geometry
25025981202,"Census Tract 9812.02, Suffolk County, Massachusetts",B05001_006,0,13,"list(list(c(-71.047072, -71.043838, -71.041406, -71.039493, -71.037451, -71.035134, -71.035987, -71.03408, -71.029795, -71.027367, -71.024285, -71.022043, -71.019041, -71.018921, -71.012357, -71.012428, -71.010213, -71.009245, -71.011641, -71.018005, -71.021947, -71.025133, -71.027255, -71.029317, -71.035486, -71.037522, -71.042475, -71.043982, -71.045559, -71.047072, 42.339701, 42.342447, 42.344526, 42.344487, 42.343214, 42.3466, 42.347703, 42.348267, 42.351789, 42.350365, 42.35004, 42.348679, 42.345277, 
42.343739, 42.342674, 42.342672, 42.341432, 42.340523, 42.33931, 42.338817, 42.337847, 42.33831, 42.338271, 42.338238, 42.338141, 42.338095, 42.33801, 42.337988, 42.338718, 42.339701)))"
25025100603,"Census Tract 1006.03, Suffolk County, Massachusetts",B05001_006,166,96,"list(list(c(-71.051472, -71.048418, -71.050633, -71.049958, -71.048307, -71.047456, -71.047171, -71.048187, -71.047616, -71.044087, -71.042363, -71.043664, -71.042788, -71.043508, -71.038462, -71.036666, -71.035294, -71.037894, -71.03908, -71.040667, -71.041659, -71.043027, -71.04415, -71.045291, -71.047461, -71.048515, -71.04937, -71.051472, 42.289314, 42.290058, 42.292782, 42.293035, 42.293204, 42.293594, 42.294359, 42.298006, 42.298591, 42.300073, 42.300088, 42.298337, 42.295883, 42.295227, 42.293469, 
42.291383, 42.288798, 42.284898, 42.283966, 42.284906, 42.285415, 42.285922, 42.286455, 42.286933, 42.286389, 42.286135, 42.288012, 42.289314)))"
25025010205,"Census Tract 102.05, Suffolk County, Massachusetts",B05001_006,1184,347,"list(list(c(-71.102519, -71.100982, -71.098955, -71.097412, -71.096493, -71.098408, -71.099062, -71.101823, -71.102519, 42.343375, 42.344881, 42.346815, 42.343694, 42.341843, 42.340791, 42.34061, 42.342503, 42.343375)))"
25025070201,"Census Tract 702.01, Suffolk County, Massachusetts",B05001_006,412,147,"list(list(c(-71.066613, -71.066868, -71.067533, -71.064562, -71.064725, -71.062761, -71.063841, -71.06415, -71.064434, -71.065755, -71.068193, -71.066613, 42.348761, 42.350962, 42.352513, 42.352383, 42.351708, 42.351508, 42.349485, 42.348405, 42.347186, 42.347513, 42.347866, 42.348761)))"
25025020305,"Census Tract 203.05, Suffolk County, Massachusetts",B05001_006,320,145,"list(list(c(-71.069478, -71.064059, -71.062994, -71.059795, -71.058525, -71.060673, -71.062941, -71.063388, -71.063716, -71.065134, -71.065368, -71.068696, -71.067606, -71.067388, -71.070575, -71.069478, 42.369046, 42.369001, 42.368391, 42.368767, 42.366952, 42.365777, 42.364547, 42.364193, 42.362198, 42.362404, 42.364831, 42.365486, 42.366426, 42.366506, 42.368015, 42.369046)))"
25025030301,"Census Tract 303.01, Suffolk County, Massachusetts",B05001_006,72,66,"list(list(c(-71.052809, -71.051063, -71.051066, -71.051084, -71.05109, -71.046389, -71.045918, -71.0455, -71.045566, -71.049595, -71.05106, -71.050784, -71.051582, -71.051657, -71.051817, -71.052809, 42.360915, 42.362248, 42.363703, 42.363995, 42.364175, 42.363935, 42.361164, 42.359825, 42.359733, 42.354497, 42.355131, 42.357032, 42.358762, 42.35904, 42.359615, 42.360915)))"
25025170102,"Census Tract 1701.02, Suffolk County, Massachusetts",B05001_006,1082,692,"list(list(c(-71.033181, -71.032566, -71.031729, -71.030941, -71.030588, -71.027544, -71.022741, -71.021719, -71.018278, -71.017656, -71.014408, -71.011234, -71.011635, -71.012109, -71.013549, -71.014532, -71.019213, -71.023283, -71.024127, -71.028277, -71.028653, -71.0304, -71.031355, -71.032772, -71.033181, 42.414206, 42.415533, 42.417392, 42.417177, 42.417079, 42.416257, 42.414945, 42.414653, 42.413709, 42.413537, 42.412631, 42.411781, 42.411161, 42.410406, 42.408154, 42.409133, 42.410408, 42.411539, 
42.411762, 42.412908, 42.413017, 42.412701, 42.412512, 42.413828, 42.414206)))"
25025000101,"Census Tract 1.01, Suffolk County, Massachusetts",B05001_006,478,261,"list(list(c(-71.136596, -71.136273, -71.135331, -71.133088, -71.130218, -71.130417, -71.129768, -71.128879, -71.13083, -71.131488, -71.133083, -71.133303, -71.136961, -71.136596, 42.360161, 42.360903, 42.363175, 42.363383, 42.362694, 42.361957, 42.361072, 42.360368, 42.359024, 42.358595, 42.358556, 42.358581, 42.359315, 42.360161)))"
25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",B05001_006,119,57,"list(list(c(-71.065161, -71.063721, -71.062911, -71.062865, -71.062875, -71.062642, -71.063169, -71.06499, -71.065081, -71.065075, -71.065069, -71.065048, -71.065161, 42.361201, 42.361241, 42.361229, 42.359989, 42.359483, 42.357977, 42.357748, 42.357195, 42.358381, 42.358632, 42.358856, 42.359368, 42.361201)))"
25025100601,"Census Tract 1006.01, Suffolk County, Massachusetts",B05001_006,706,346,"list(list(c(-71.063115, -71.062805, -71.062611, -71.06036, -71.057296, -71.054651, -71.052431, -71.05088, -71.050633, -71.048418, -71.051472, -71.052158, -71.055347, -71.055703, -71.055995, -71.058624, -71.060489, -71.063796, -71.063115, 42.289966, 42.291121, 42.291809, 42.292351, 42.293125, 42.293703, 42.294476, 42.293086, 42.292782, 42.290058, 42.289314, 42.289137, 42.288242, 42.289158, 42.289093, 42.288442, 42.288294, 42.287492, 42.289966)))"
